Easting,Northing,n
537025.0009,246274.9999,5
538125.0009,256224.9999,5
538275.0009,264024.9999,5
539575.0009,301124.9999,5
539625.0009,301424.9999,5
541675.0009,292024.9999,5
541675.0009,296824.9999,5
541875.0009,297124.9999,5
542125.0009,261324.9999,5
543825.0009,259124.9999,5
544275.0009,259024.9999,5
544325.0009,260074.9999,5
544425.0009,258174.9999,5
544475.0009,259024.9999,5
544575.0009,254674.9999,5
544575.0009,254824.9999,5
544625.0009,259074.9999,5
544675.0009,258974.9999,5
544725.0009,258974.9999,5
544775.0009,255724.9999,5
544825.0009,303024.9999,5
544925.0009,261224.9999,5
545175.0009,258324.9999,5
545225.0009,258224.9999,5
545275.0009,256874.9999,5
545325.0009,258124.9999,5
545375.0009,259724.9999,5
545575.0009,257674.9999,5
545725.0009,260024.9999,5
545725.0009,304774.9999,5
545975.0009,258024.9999,5
546225.0009,257874.9999,5
546425.0009,252024.9999,5
546475.0009,258924.9999,5
546475.0009,309424.9999,5
546525.0009,258874.9999,5
546675.0009,258774.9999,5
546775.0009,259124.9999,5
546925.0009,255174.9999,5
546925.0009,257624.9999,5
548075.0009,259324.9999,5
548325.0009,263624.9999,5
548475.0009,256074.9999,5
548825.0009,256724.9999,5
550025.0009,272324.9999,5
551475.0009,259424.9999,5
552725.0009,279474.9999,5
554225.0009,279774.9999,5
554525.0009,281624.9999,5
556975.0009,282924.9999,5
558925.0009,246674.9999,5
559025.0009,274924.9999,5
562875.0009,258824.9999,5
507475.0009,299824.9999,4
509475.0009,299424.9999,4
514725.0009,295124.9999,4
515275.0009,294524.9999,4
515875.0009,290674.9999,4
516425.0009,297674.9999,4
516475.0009,295224.9999,4
516625.0009,295124.9999,4
516925.0009,302574.9999,4
516975.0009,294124.9999,4
517225.0009,301224.9999,4
517275.0009,300024.9999,4
517275.0009,301324.9999,4
517725.0009,301474.9999,4
517825.0009,295574.9999,4
517875.0009,301474.9999,4
517925.0009,295324.9999,4
517975.0009,301074.9999,4
518075.0009,299274.9999,4
518125.0009,297524.9999,4
518175.0009,260224.9999,4
518225.0009,300674.9999,4
518375.0009,300824.9999,4
518425.0009,258674.9999,4
518525.0009,297774.9999,4
518525.0009,300624.9999,4
518575.0009,300574.9999,4
518625.0009,299874.9999,4
518675.0009,300474.9999,4
518725.0009,296974.9999,4
518725.0009,301624.9999,4
518775.0009,296974.9999,4
518775.0009,297874.9999,4
518775.0009,298974.9999,4
518775.0009,299874.9999,4
518825.0009,298874.9999,4
518825.0009,300074.9999,4
518825.0009,302074.9999,4
518875.0009,298974.9999,4
518975.0009,299924.9999,4
518975.0009,301224.9999,4
519025.0009,267374.9999,4
519175.0009,261524.9999,4
519175.0009,300074.9999,4
519225.0009,297674.9999,4
519225.0009,297724.9999,4
519225.0009,297924.9999,4
519225.0009,297974.9999,4
519225.0009,300174.9999,4
519275.0009,298174.9999,4
519275.0009,298274.9999,4
519275.0009,298924.9999,4
519275.0009,299024.9999,4
519325.0009,300424.9999,4
519375.0009,271924.9999,4
519375.0009,271974.9999,4
519525.0009,298474.9999,4
519625.0009,298824.9999,4
519725.0009,299324.9999,4
519925.0009,302274.9999,4
519975.0009,301174.9999,4
520075.0009,298624.9999,4
520075.0009,302324.9999,4
520325.0009,296424.9999,4
520325.0009,298774.9999,4
520425.0009,299124.9999,4
520475.0009,299074.9999,4
520475.0009,302374.9999,4
520625.0009,299324.9999,4
520675.0009,299124.9999,4
520775.0009,300524.9999,4
520925.0009,300524.9999,4
521575.0009,251624.9999,4
521775.0009,299474.9999,4
521925.0009,296024.9999,4
522075.0009,296024.9999,4
522225.0009,305974.9999,4
523125.0009,272874.9999,4
523175.0009,269424.9999,4
523575.0009,253574.9999,4
523775.0009,273224.9999,4
523875.0009,274074.9999,4
525675.0009,281024.9999,4
526075.0009,268124.9999,4
526975.0009,297574.9999,4
527075.0009,297074.9999,4
527375.0009,260124.9999,4
527475.0009,299424.9999,4
528175.0009,269674.9999,4
528425.0009,260524.9999,4
528825.0009,281624.9999,4
529575.0009,260674.9999,4
529875.0009,276524.9999,4
529925.0009,286374.9999,4
531175.0009,272224.9999,4
531425.0009,270024.9999,4
531625.0009,304474.9999,4
532225.0009,304274.9999,4
532425.0009,267874.9999,4
532525.0009,267824.9999,4
534125.0009,303974.9999,4
534525.0009,244424.9999,4
535575.0009,265824.9999,4
535925.0009,265574.9999,4
538475.0009,263874.9999,4
539475.0009,246674.9999,4
540075.0009,298024.9999,4
540175.0009,270024.9999,4
540275.0009,297624.9999,4
541025.0009,264224.9999,4
541275.0009,259374.9999,4
541275.0009,259424.9999,4
541675.0009,296874.9999,4
