Reference,Date,Year,Month,Day,Day,Time,Severity,Road_Class,Main_rd_no,Junction Detail,Light,Weather,Surface,Speed_limit,Cycle,TWMV,Child,Child_Pedestrian,Ped,Skid,HGV,LGV,PSV,School Journey,,Pedestrian-1_Sex,Pedestrian_1_Age,Pedestrian_1_Severity,Pedestria_1_Location,Pedestrian-1_Movement,Pedestrian_1_Mov_To,Location,Number_Vehicles,Vehicle_1_Type,Vehicle_1_Manouvres,Vehicle_1_From_Direction,Vehicle_1_To_Direction,Vehicle_1_Location,Vehicle_1_Skidding,Vehicle_2_Type,Vehicle_2_Manouvres,Vehicle_2_From_Direction,Vehicle_2_To_Direction,Vehicle_2_Location,Vehicle_ 2_Skidding,Vehicle_3_Type,V3_Manouvres,V3_From_Direction,V3_To_Direction,V3_Location,V3_Skidding,Easting,Northing
22212,20120116,2012,1,16,Monday,1349,Slight,U,0,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,BRIMBLES WAY JUNCTION LEDHAM PETERBOROUGH,2,Car,Going ahead left hand bend,E,S,Mid jnctn - on rbout or main road,Did not skid,Agricultural vehicle,Waiting to turn right,S,E,Approaching jnctn or waiting/parked,Did not skid,,,,,,,514806.358,295832.628
22214,20140208,2014,2,8,Saturday,510,Slight,B,1050,Not at junction,Dark,Uncoded,Wet/damp,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,B1050  EXACT LOCATION UNKNOWN,2,Car,Going ahead,S,N,"Not at,or within 20m of, junction",Did not skid,Car,Slow or stopping,N,S,"Not at,or within 20m of, junction",Did not skid,,,,,,,538653.004,264838.0002
22215,20150221,2015,2,21,Saturday,1908,Slight,B,1101,Not at junction,Dark,Fine (no wind),Dry,40,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,B1101 WIMBLINGTON RD OS NO 131 65M SOUTH OF LAMBS HILL DROVE,2,Car,Going ahead,N,S,"Not at,or within 20m of, junction",Skidded,Car,Slow or stopping,N,S,"Not at,or within 20m of, junction",Did not skid,,,,,,,541677.1688,294500.8793
22216,20160112,2016,1,12,Tuesday,1320,Slight,A,1307,Roundabout,Day,Fine (no wind),Dry,40,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A1307 BABRAHAM RD JUNCTION CHERRY HINTON RD CAMBRIDGE,2,Car,Going ahead,NW,SE,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,NW,SE,Approaching jnctn or waiting/parked,Did not skid,,,,,,,547851.1612,254174.8825
22312,20120113,2012,1,13,Friday,1700,Slight,U,0,Not at junction,Dark,Fine (no wind),Frost/Ice,30,N,Y,Y,Y,Y,N,N,N,N,N,1,Male,10,Slight, On footway/verge,Not known,Standing still,REGENTS CLOSE 30M DUKES RD EATON SOCON,1,Motorcycle <=50cc,Going ahead,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,516701.8893,259585.6036
22314,20140209,2014,2,9,Sunday,625,Serious,A,47,Not at junction,Dark,Fine (no wind),Wet/damp,60,N,N,N,N,Y,Y,N,N,N,N,1,Male,27,Serious, In c/w not crossing,Walking along facing traffic,Towards E,A47 EYE RD 200M CROWLAND RD PETERBOROUGH,1,Car,Ovrtking moving veh on offsde,E,W,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,523143.3433,303192.8012
22315,20150221,2015,2,21,Saturday,1705,Slight,A,47,Roundabout,Day,Fine (no wind),Dry,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A47 WISBECH BY PASS JCT B198 CROMWELL RD DIR OF TRAVEL UK,2,Car,Going ahead,Parked,Parked,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,Parked,Parked,Approaching jnctn or waiting/parked,Did not skid,,,,,,,544736.1112,307418.7915
22414,20140209,2014,2,9,Sunday,350,Slight,U,0,Not at junction,Dark,Fine & windy,Dry,30,N,N,N,N,N,N,N,Y,N,N,0,,0,,,,,BRIDEWELL RD OUTSIDE NO 34 CAMBRIDGE,2,Taxi/private hire ca,Slow or stopping,S,N,"Not at,or within 20m of, junction",Did not skid,Van/GV <=3.5t mgw,Parked,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,549186.5561,256368.8144
22415,20150224,2015,2,24,Tuesday,859,Slight,U,0,Cross roads,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,WEST LAKE AVENUE JUNCTION WEST WATER CRESCENT HAMPTON,2,Car,Turning left,N,NE,Entering main road,Did not skid,Car,Going ahead,SW,NE,Mid jnctn - on rbout or main road,Did not skid,,,,,,,517301.5361,294302.496
22513,20130117,2013,1,17,Thursday,705,Fatal,A,14,Not at junction,Dark,Fine (no wind),Wet/damp,70,N,N,N,N,N,Y,Y,N,N,N,0,,0,,,,,A14 150M WEST OF A1303 CAMBRIDGE,4,Car,Going ahead,NE,SW,"Not at,or within 20m of, junction",Did not skid,GV >= 7.5t mgw,Parked,NE,SW,"Not at,or within 20m of, junction",Did not skid,GV >= 7.5t mgw,Going ahead,NE,SW,"Not at,or within 20m of, junction",Skidded,557443.1273,259953.0385
22514,20140210,2014,2,10,Monday,1716,Slight,A,142,Not at junction,Dark,Raining & windy,Wet/damp,60,N,Y,N,N,N,Y,N,N,N,N,0,,0,,,,,A142 30M NE OF BARWAY RD SOHAM,2,Car,Ovrtking moving veh on offsde,NW,SE,"Not at,or within 20m of, junction",Skidded,Motorcycle <=50cc,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,,,,,,,557141.6878,276501.1616
22515,20150225,2015,2,25,Wednesday,2020,Slight,A,14,Not at junction,Dark,Fine (no wind),Dry,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A14 EBC SWAFFHAM BULBECK EXACT LOCATION UNKNOWN,1,Car,Going ahead,SW,NE,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,558629.1381,261041.7868
22613,20130117,2013,1,17,Thursday,1750,Slight,B,1428,'T'/staggered junctn,Dark,Fine (no wind),Wet/damp,30,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,B1428 CAMBRIDGE RD JUNCTION LOVES WAY ST NEOTS,2,Car,Going ahead,W,E,Mid jnctn - on rbout or main road,Skidded,Car,Going ahead,E,W,Mid jnctn - on rbout or main road,Did not skid,,,,,,,520012.7513,260273.7067
22614,20140211,2014,2,11,Tuesday,1645,Slight,B,1166,Cross roads,Day,Fine (no wind),Dry,50,N,N,N,N,N,N,Y,Y,N,N,0,,0,,,,,B1166 LEVERINGTON COMMON JUNCTION HIGH SIDE LEVERINGTON,2,GV >3.5 < 7.5t mgw,Going ahead left hand bend,NW,NE,Mid jnctn - on rbout or main road,Did not skid,Van/GV <=3.5t mgw,Going ahead right hand bend,NE,NW,Mid jnctn - on rbout or main road,Did not skid,,,,,,,540298.6193,308359.5822
22616,20160115,2016,1,15,Friday,1250,Slight,U,0,Roundabout,Day,Fine (no wind),Wet/damp,40,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,BOONGATE FENGATE JUNCTION SLIP RD ONTO FRANK PERKINS,2,GV >= 7.5t mgw,Slow or stopping,SE,NW,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,SE,NW,Approaching jnctn or waiting/parked,Did not skid,,,,,,,520563.0679,298995.7826
22712,20120114,2012,1,14,Saturday,1935,Slight,A,1260,Roundabout,Dark,Unknown,Dry,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A1260 NENE PARKWAY A1139 RDABT PETERBOROUGH,2,Car,Going ahead,Parked,Parked,Entering roundabout,Did not skid,Car,Going ahead,Parked,Parked,Mid jnctn - on rbout or main road,Did not skid,,,,,,,517687.8914,295664.5462
22713,20130116,2013,1,16,Wednesday,1730,Slight,U,0,Private drive/entry,Dark,Unknown,Dry,30,N,N,N,N,Y,N,N,N,N,N,1,Male,35,Slight, On footway/verge,Crossing from driver's offside,Unknown,KEDLESTON RD STANGROUND OS NO 24 PETERBOROUGH,1,Car,Reversing,SE,NW,Entering main road,Did not skid,,,,,,,,,,,,,521720.4024,296630.9195
22714,20140215,2014,2,15,Saturday,251,Serious,A,14,Not at junction,Dark,Fine & windy,Wet/damp,70,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A14 SBC 100M PRIOR TO JUNCTION 23 HUNTINGDON,6,Car,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,521828.388,273160.228
22715,20150108,2015,1,8,Thursday,1225,Slight,U,0,'T'/staggered junctn,Day,Rain (no wind),Wet/damp,30,N,N,N,N,Y,N,N,N,Y,N,1,Female,0,Slight, In c/w within 50m of Xing,Crossing from driver's nearside,Towards E,BROADWAY PETERBOROUGH  OUTSIDE SNAPPY SNAPS,1,Bus or coach >16 sea,Turning left,W,N,Cleared jnctn or waiting/parked at,Did not skid,,,,,,,,,,,,,519242.8605,298834.5687
22716,20160114,2016,1,14,Thursday,745,Slight,A,15,'T'/staggered junctn,Day,Raining & windy,Wet/damp,40,N,N,Y,Y,Y,N,N,N,N,N,1,Female,13,Slight, In c/w on pedestrian Xing,Crossing from driver's nearside,Towards E,A15 LINCOLN RD JUNCTION PASTON LANE PETERBOROUGH,1,Taxi/private hire ca,Changing lane to right,NW,SE,Approaching jnctn or waiting/parked,Did not skid,,,,,,,,,,,,,517634.1913,301721.9622
22814,20140217,2014,2,17,Monday,1730,Slight,U,0,Roundabout,Dark,Unknown,Dry,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,NENE PARKWAYS ROUNDABOUT MORLEY WAY PETERBOROUGH,2,Car,Going ahead,W,E,Mid jnctn - on rbout or main road,Did not skid,Car,Turning right,N,W,Mid jnctn - on rbout or main road,Did not skid,,,,,,,517579.9471,296347.3907
22815,20150226,2015,2,26,Thursday,730,Slight,C,192,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,Y,N,N,N,Y,N,N,N,N,0,,0,,,,,SCHOOL LANE JUNCTION WOODSIDE LONGSTANTON,1,Motorcycle >50 <= 12,Turning right,SW,SE,Leaving main road,Skidded,,,,,,,,,,,,,539908.1415,266379.6289
22816,20160120,2016,1,20,Wednesday,830,Slight,U,0,Roundabout,Day,Fine (no wind),Dry,40,N,N,Y,N,N,N,N,N,N,N,0,,0,,,,,BOONGATE JUNCTION A1139 FRANK PERKINS PARKWAY,3,Car,Slow or stopping,SE,NW,Approaching jnctn or waiting/parked,Did not skid,Car,Slow or stopping,SE,NW,Approaching jnctn or waiting/parked,Did not skid,Taxi/private hire ca,Slow or stopping,SE,SW,Approaching jnctn or waiting/parked,Did not skid,520582.8478,299005.8997
22912,20121221,2012,12,21,Friday,755,Slight,C,318,Cross roads,Day,Fine (no wind),Wet/damp,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,C318 BROAD ST JUNCTION C140 BACK HILL ELY,2,Car,Turning right,SE,NE,Leaving main road,Did not skid,Pedal cycle,Going ahead,NW,SE,Mid jnctn - on rbout or main road,Did not skid,,,,,,,554186.963,279764.9074
22914,20140220,2014,2,20,Thursday,2220,Slight,A,603,Mini-roundabout,Dark,Fine (no wind),Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,A603 TRUMPINGTON RD JUNCTION A1134 FEN CAUSEWAY CAMBRIDGE,2,Car,Turning right,W,E,Entering roundabout,Did not skid,Pedal cycle,Going ahead,S,N,Mid jnctn - on rbout or main road,Did not skid,,,,,,,545148.5539,257591.4545
22915,20150227,2015,2,27,Friday,1310,Slight,A,14,Not at junction,Day,Fine (no wind),Dry,70,N,N,N,N,N,Y,Y,N,N,N,0,,0,,,,,A14 CAMBRIDGE RD 700M EAST OF A1096 LONDON RD AT LAYBY,3,GV >= 7.5t mgw,Moving off,SE,NW,"Not at,or within 20m of, junction",Did not skid,GV >= 7.5t mgw,Changing lane to right,SE,NW,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Skidded,531478.828,268289.9621
22916,20160213,2016,2,13,Saturday,2245,Fatal,A,15,Not at junction,Dark,Unknown,Dry,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A15 PASTON PARKWAY PETERBOROUGH,1,Car,Going ahead left hand bend,NW,E,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,520911.9989,301616.0026
23013,20130110,2013,1,10,Thursday,1420,Slight,C,184,Not at junction,Day,Fine (no wind),Wet/damp,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,C184 HIGH ST BOXWORTH,2,Car,Going ahead left hand bend,SW,NW,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead right hand bend,NW,SW,"Not at,or within 20m of, junction",Skidded,,,,,,,535184.818,265087.1688
23014,20140221,2014,2,21,Friday,905,Slight,B,1411,'T'/staggered junctn,Day,Fine (no wind),Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,A1411 LAWN LANE JUNCTION C129 CHURCH WAY LITTLE DOWNHAM,2,Car,Turning left,NE,SE,Entering main road,Did not skid,Pedal cycle,Going ahead,NW,SE,Mid jnctn - on rbout or main road,Did not skid,,,,,,,552786.6713,284060.6277
23016,20160115,2016,1,15,Friday,1324,Slight,C,326,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,N,N,N,N,N,N,Y,N,N,0,,0,,,,,LITTLE PAXTON OFF SLIP JUNCTION GREAT NORTH ROAD,2,Van/GV <=3.5t mgw,Going ahead,N,S,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,N,S,Approaching jnctn or waiting/parked,Did not skid,,,,,,,518515.8275,263000.846
23112,20120116,2012,1,16,Monday,2106,Slight,U,0,'T'/staggered junctn,Day,Fine (no wind),Wet/damp,30,N,Y,N,N,N,Y,N,N,N,N,0,,0,,,,,COLDHAMS LANE JUNCTION NORMAN WAY CAMBRIDGE,2,Car,Turning right,NW,SW,Leaving main road,Did not skid,Motorcycle >500cc,Going ahead,SE,NW,Mid jnctn - on rbout or main road,Skidded/ovrtn,,,,,,,548426.9963,257505.9989
23114,20140222,2014,2,22,Saturday,513,Slight,C,315,Not at junction,Dark,Fine (no wind),Wet/damp,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,C315 ELY RD LITTLEPORT EXACT LOCATION UNKNOWN,1,Car,Going ahead,N,S,"Not at,or within 20m of, junction",Skidded/ovrtn,,,,,,,,,,,,,556602.4279,284679.9805
23115,20150303,2015,3,3,Tuesday,1125,Slight,U,0,Not at junction,Day,Fine & windy,Dry,60,N,Y,N,N,N,N,Y,N,N,N,0,,0,,,,,EYEBURY RD PETERBOROUGH,2,Motorcycle >500cc,Moving off,N,S,"Not at,or within 20m of, junction",Did not skid,GV >= 7.5t mgw,Ovrtking moving veh on offsde,S,N,"Not at,or within 20m of, junction",Did not skid,,,,,,,522491.7361,301045.7658
23116,20160106,2016,1,6,Wednesday,838,Slight,C,286,'T'/staggered junctn,Day,Fine (no wind),Wet/damp,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,CHARIOT WAY JUNCTION ORCHARD PARK CAMBRIDGE,2,Car,Moving off,N,S,Approaching jnctn or waiting/parked,Did not skid,Pedal cycle,Moving off,N,S,Approaching jnctn or waiting/parked,Did not skid,,,,,,,544790.6275,261400.904
23214,20140223,2014,2,23,Sunday,1901,Serious,A,505,Not at junction,Dark,Fine (no wind),Wet/damp,60,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,A505 MELBOURN EXACT LOCATION UNKNOWN,3,Car,Going ahead,SW,NE,"Not at,or within 20m of, junction",Did not skid,Motorcycle >500cc,Going ahead,SW,NE,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,NE,SW,"Not at,or within 20m of, junction",Did not skid,538869.9976,241625.0048
23215,20150303,2015,3,3,Tuesday,1228,Slight,C,103,Not at junction,Day,Fine (no wind),Dry,60,N,N,N,N,N,Y,Y,N,N,N,0,,0,,,,,B1090 600M WEST OF WALTON HILL HUNTINGDON,2,Car,Going ahead left hand bend,W,N,"Not at,or within 20m of, junction",Skidded,GV >= 7.5t mgw,Going ahead right hand bend,N,W,"Not at,or within 20m of, junction",Did not skid,,,,,,,520706.7298,279714.5518
23216,20160201,2016,2,1,Monday,1835,Slight,B,1095,Not at junction,Dark,Fine & windy,Dry,50,N,N,Y,N,N,Y,N,Y,N,N,0,,0,,,,,B1095 RAMSEY RD 50M WEST OF WRIGHTS DROVE FARCET,2,Van/GV <=3.5t mgw,Going ahead,SE,NW,"Not at,or within 20m of, junction",Skidded,Car,Slow or stopping,SE,NW,"Not at,or within 20m of, junction",Did not skid,,,,,,,523273.4998,293592.0494
23314,20140224,2014,2,24,Monday,1830,Slight,A,603,Cross roads,Dark,Fine (no wind),Dry,30,N,N,N,N,N,N,N,Y,N,N,0,,0,,,,,A603 HILLS RD JUNCTION A1307 GONVILLE PLACE CAMBRIDGE,2,Van/GV <=3.5t mgw,Going ahead,NW,SE,Mid jnctn - on rbout or main road,Did not skid,Car,Waiting to go ahd but held up,NW,SE,Mid jnctn - on rbout or main road,Did not skid,,,,,,,545482.7922,257818.8494
23315,20150304,2015,3,4,Wednesday,2040,Slight,A,14,Not at junction,Dark,Fine (no wind),Dry,70,N,N,N,N,N,Y,Y,N,N,N,0,,0,,,,,A14 WESTBOUND EASTON JUNCTION 19 EASTON,2,GV >= 7.5t mgw,Going ahead,SE,NW,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Skidded,,,,,,,514589.5789,272270.6526
23316,20160215,2016,2,15,Monday,805,Slight,M,11,Not at junction,Day,Fine (no wind),Wet/damp,70,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,M11 JUNCTION 10 SOUTHBOUND CAMBRIDGE,2,Car,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,GV >= 7.5t mgw,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,,,,,,,546541.4415,246656.4346
23412,20120117,2012,1,17,Tuesday,600,Slight,C,272,Cross roads,Dark,Fine (no wind),Wet/damp,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,WHADDON RD JUNCTION WHITECROFT RD KNEESWORTH RD CAMBRIDGE,2,Car,Turning left,SW,NW,Cleared jnctn or waiting/parked at,Did not skid,Pedal cycle,Going ahead,SE,NW,Cleared jnctn or waiting/parked at,Did not skid,,,,,,,537003.5878,246266.3063
23414,20140223,2014,2,23,Sunday,215,Slight,A,15,Not at junction,Dark,Fine (no wind),Wet/damp,70,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,A15 PASTON PARKWAY 600M SOUTH OF GUNTHORPE RD,1,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,519213.0134,302836.1833
23415,20150305,2015,3,5,Thursday,905,Slight,A,11,Slip road,Day,Fine (no wind),Dry,70,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,A11 JUNCTION FULBOURN SLIP CAMBRIDGE,6,Car,Going ahead,SW,NE,Approaching jnctn or waiting/parked,Did not skid,Car,Changing lane to right,SW,NE,Approaching jnctn or waiting/parked,Did not skid,Car,Changing lane to left,SW,NE,Approaching jnctn or waiting/parked,Did not skid,554458.0194,253770.4782
23416,20160203,2016,2,3,Wednesday,1759,Slight,A,1303,Roundabout,Dark,Fine (no wind),Dry,50,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A1303 MADINGLEY,2,Car,Going ahead,SE,NW,Entering roundabout,Did not skid,Car,Going ahead,NW,SE,Leaving roundabout,Did not skid,,,,,,,539397.8134,259483.3729
23512,20120117,2012,1,17,Tuesday,810,Slight,A,603,'T'/staggered junctn,Day,Fine (no wind),Dry,30,Y,Y,N,N,N,N,N,N,N,N,0,,0,,,,,EAST RD JUNCTION BROAD RD CAMBRIDGE,2,Pedal cycle,Going ahead,SW,NE,Mid jnctn - on rbout or main road,Did not skid,Motorcycle >50 <= 12,Turning left,NE,SE,Cleared jnctn or waiting/parked at,Did not skid,,,,,,,545863.7305,258382.1281
23514,20140224,2014,2,24,Monday,710,Slight,A,1134,Roundabout,Day,Fine (no wind),Wet/damp,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,A1134 COLDHAMS LANE JUNCTION BARNWELL RD CAMBRIDGE,1,Motorcycle >500cc,Going ahead right hand bend,NW,SE,Leaving roundabout,Did not skid,,,,,,,,,,,,,547609.2594,258021.2714
23515,20150115,2015,1,15,Thursday,1215,Slight,U,0,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,EKIN RD OUTSIDE NO 12 CAMBRIDGE,2,Motorcycle >50 <= 12,Going ahead,W,E,Cleared jnctn or waiting/parked at,Did not skid,Car,Going ahead,E,W,Approaching jnctn or waiting/parked,Did not skid,,,,,,,548031.0025,259524.0013
23516,20160218,2016,2,18,Thursday,1055,Slight,B,1050,Not at junction,Day,Fine (no wind),Dry,60,N,N,Y,N,N,N,N,N,N,N,0,,0,,,,,B1050 EARITH RD OUTSIDE MIDDLE FEN FARM WILLINGHAM,1,Car,Going ahead,S,N,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,540776.8906,272259.2059
23612,20120117,2012,1,17,Tuesday,750,Slight,B,1040,Not at junction,Day,Fine (no wind),Wet/damp,40,N,Y,N,N,N,N,N,N,N,N,0,,0,,,,,B1040 SOMERSHAM RD 500M NORTH OF HARDING WAY ST IVES,1,Motorcycle <=50cc,Slow or stopping,S,N,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,532232.8223,272844.3284
23614,20140225,2014,2,25,Tuesday,1830,Serious,B,1166,'T'/staggered junctn,Day,Uncoded,Wet/damp,40,Y,N,Y,N,N,N,N,N,N,N,0,,0,,,,,B1166 MAIN RD OUTSIDE NO 51 PARSONS DROVE,2,Car,Going ahead,E,W,Cleared jnctn or waiting/parked at,Did not skid,Pedal cycle,Changing lane to right,W,E,Approaching jnctn or waiting/parked,Did not skid,,,,,,,537442.7528,308594.0651
23615,20150118,2015,1,18,Sunday,332,Serious,U,0,Not at junction,Dark,Uncoded,Wet/damp,30,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,FEOFFEES RD N OF HIGH ST SOMERSHAM,2,Car,Going ahead,N,S,"Not at,or within 20m of, junction",Did not skid,Car,Parked,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,536354.4706,277817.5048
23616,20160212,2016,2,12,Friday,1125,Slight,A,14,Not at junction,Day,Fine (no wind),Dry,70,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,A14 EASTBOUND NEAR JUNCTION 28 SWAVESEY,3,GV >= 7.5t mgw,Ovrtking moving veh on offsde,NW,SE,"Not at,or within 20m of, junction",Did not skid,Car,Ovrtking moving veh on offsde,NW,SE,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,NW,SE,"Not at,or within 20m of, junction",Did not skid,535559.218,265849.0408
23713,20130118,2013,1,18,Friday,1556,Slight,U,0,Not at junction,Day,Snowing & windy,Snow,30,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,CLAYTON PETERBOROUGH,2,Car,Going ahead right hand bend,NW,SW,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead left hand bend,SW,NW,"Not at,or within 20m of, junction",Skidded,,,,,,,516625.0701,295671.6941
23714,20140226,2014,2,26,Wednesday,900,Slight,M,11,Slip road,Day,Fine (no wind),Dry,70,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,JUNCTION 13 SLIP RD OFF WBC M11 AT BOTTOM OF SLOPE MADINGLEY,2,Car,Slow or stopping,S,NW,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,S,NW,Approaching jnctn or waiting/parked,Did not skid,,,,,,,542029.7606,259059.1144
23715,20150123,2015,1,23,Friday,1748,Slight,A,14,Not at junction,Dark,Fine (no wind),Dry,70,N,N,N,N,Y,N,N,Y,N,N,2,Male,33,Slight, In c/w not crossing,Not known,Standing still,A14 500M WEST OF SWAVESEY SERVICES SWAVESEY,2,Car,Going ahead,E,W,"Not at,or within 20m of, junction",Did not skid,Van/GV <=3.5t mgw,Parked,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,536372.0574,265287.5215
23716,20160223,2016,2,23,Tuesday,1245,Slight,A,142,Not at junction,Day,Fine (no wind),Dry,60,N,N,N,N,N,N,N,Y,N,N,0,,0,,,,,A142 40M NORTH OF EAST FEN COMMON SOHAM,4,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Did not skid,Car,Slow or stopping,SE,NW,"Not at,or within 20m of, junction",Did not skid,Car,Slow or stopping,SE,NW,"Not at,or within 20m of, junction",Did not skid,560363.363,273457.1929
23812,20120117,2012,1,17,Tuesday,905,Slight,U,0,Roundabout,Day,Fine (no wind),Frost/Ice,30,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,GOLDHAY WAY JUNCTION FRANK PERKINS PARKWAY PETERBOROUGH,3,Car,Going ahead left hand bend,S,NW,Leaving roundabout,Skidded,Car,Going ahead left hand bend,S,NW,Leaving roundabout,Did not skid,Car,Waiting to go ahd but held up,S,NW,Leaving roundabout,Did not skid,516499.0608,295198.9994
23813,20130117,2013,1,17,Thursday,845,Slight,A,10,'T'/staggered junctn,Day,Unknown,Dry,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A10 ROYSTON RD JUNCTION A10 MELBOURNE,2,Car,Going ahead,E,W,Approaching jnctn or waiting/parked,Did not skid,Car,Waiting to go ahd but held up,E,W,Approaching jnctn or waiting/parked,Did not skid,,,,,,,537127.3462,243720.8049
23814,20140105,2014,1,5,Sunday,1720,Serious,A,1,Not at junction,Dark,Fine (no wind),Dry,70,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,A1 GREAT NORTH RD 600M NORTH OF TOWNS END RD PETERBOROUGH,3,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Overturned,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Did not skid,Car,Going ahead,SE,NW,"Not at,or within 20m of, junction",Did not skid,505237.4039,303153.9923
23815,20150125,2015,1,25,Sunday,1455,Slight,U,0,'T'/staggered junctn,Day,Fine (no wind),Dry,30,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,TAVERNERS RD JUNCTION LINCOLN RD PETERBOROUGH,3,Car,Slow or stopping,S,N,Cleared jnctn or waiting/parked at,Skidded,Car,Waiting to go ahd but held up,S,N,Cleared jnctn or waiting/parked at,Did not skid,Car,Waiting to go ahd but held up,S,N,Cleared jnctn or waiting/parked at,Did not skid,518975.3082,299916.0892
23816,20160222,2016,2,22,Monday,1710,Slight,U,0,Roundabout,Day,Fine (no wind),Dry,30,Y,N,Y,N,N,N,N,N,N,N,0,,0,,,,,STOUR GREEN JUNCTION CAM DRIVE ELY,2,Car,Turning left,E,S,Leaving roundabout,Did not skid,Pedal cycle,Going ahead,W,E,Mid jnctn - on rbout or main road,Did not skid,,,,,,,554095.146,281406.5075
23913,20130117,2013,1,17,Thursday,945,Slight,C,249,'T'/staggered junctn,Day,Fine (no wind),Dry,20,N,N,N,N,Y,N,N,N,N,N,1,Female,71,Slight, In c/w on pedestrian Xing,Crossing from driver's nearside,Towards W,HIGH ST OS CORAL 8M SOUTH OF SELSINGEY WAY SAWSTON,1,Car,Going ahead,N,S,Cleared jnctn or waiting/parked at,Did not skid,,,,,,,,,,,,,548633.3702,249409.4365
