Reference,Date,Year,Month,Day,Day,Time,Severity,Road_Class,Main_rd_no,Junction Detail,Light,Weather,Surface,Speed_limit,Cycle,TWMV,Child,Child_Pedestrian,Ped,Skid,HGV,LGV,PSV,School Journey,,Pedestrian-1_Sex,Pedestrian_1_Age,Pedestrian_1_Severity,Pedestria_1_Location,Pedestrian-1_Movement,Pedestrian_1_Mov_To,Location,Number_Vehicles,Vehicle_1_Type,Vehicle_1_Manouvres,Vehicle_1_From_Direction,Vehicle_1_To_Direction,Vehicle_1_Location,Vehicle_1_Skidding,Vehicle_2_Type,Vehicle_2_Manouvres,Vehicle_2_From_Direction,Vehicle_2_To_Direction,Vehicle_2_Location,Vehicle_ 2_Skidding,Vehicle_3_Type,V3_Manouvres,V3_From_Direction,V3_To_Direction,V3_Location,V3_Skidding,Easting,Northing
2416,20160107,2016,1,7,Thursday,1617,Slight,B,1187,'T'/staggered junctn,Dark,Fine (no wind),Dry,40,N,N,N,N,N,N,N,N,Y,N,0,,0,,,,,MURROW BANK JUNCTION FRONT RD MURROW,3,Car,Turning left,NE,SE,Entering main road,Did not skid,Car,Going ahead,NW,SE,Mid jnctn - on rbout or main road,Did not skid,Bus or coach >16 sea,Going ahead,SE,NW,Mid jnctn - on rbout or main road,Did not skid,537282.7821,306891.1326
2513,20130103,2013,1,3,Thursday,726,Slight,B,1093,'T'/staggered junctn,Day,Fine (no wind),Wet/damp,40,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,STATION RD JUNCTION WIMBLINGTON RD MANEA MARCH,2,Car,Turning right,W,S,Entering main road,Did not skid,Pedal cycle,Going ahead,S,N,Mid jnctn - on rbout or main road,Did not skid,,,,,,,547894.9178,290630.1872
2514,20140109,2014,1,9,Thursday,1510,Slight,U,0,Not at junction,Day,Fine (no wind),Dry,30,N,N,Y,Y,Y,N,N,N,N,Y,1,Female,11,Slight, In c/w and crossing road,Crossing from driver's nearside,Towards N,LEDBURY RD PETERBOROUGH OS JACK HUNT SCHOOL,1,Car,Slow or stopping,E,W,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,516865.7516,299311.5622
2516,20160107,2016,1,7,Thursday,1742,Slight,C,155,Not at junction,Dark,Rain (no wind),Wet/damp,60,N,N,N,N,N,N,N,N,N,N,0,,0,,,,,C155 STATION RD 500M NE BROADWAY WILBURTON,1,Car,Going ahead left hand bend,SW,N,"Not at,or within 20m of, junction",Did not skid,,,,,,,,,,,,,548844.7241,275618.8642
2612,20120103,2012,1,3,Tuesday,1244,Slight,A,505,Not at junction,Day,Fine (no wind),Wet/damp,50,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,A505 50M EAST OF M11 AT LAYBY,2,Car,Going ahead,NE,SW,"Not at,or within 20m of, junction",Did not skid,GV >= 7.5t mgw,Parked,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,546715.1485,246747.0387
2613,20130103,2013,1,3,Thursday,840,Slight,C,119,Private drive/entry,Day,Fine (no wind),Wet/damp,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,BLUNTISHAM HEATH RD OS BRIDGE FARM JNCT FARM ACCESS,1,Other vehicle - spec,Going ahead,W,E,Mid jnctn - on rbout or main road,Skidded,,,,,,,,,,,,,534447.5117,275015.7668
2614,20140110,2014,1,10,Friday,1846,Slight,B,1086,Not at junction,Dark,Fine (no wind),Wet/damp,60,N,N,N,N,N,Y,N,N,N,N,0,,0,,,,,B1086 ST IVES RD ST IVES      EXACT LOC UNKNOWN,1,Car,Going ahead right hand bend,SW,NE,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,534846.4984,277800.7296
2615,20150109,2015,1,9,Friday,815,Slight,C,47,Not at junction,Day,Fine (no wind),Wet/damp,30,Y,N,Y,N,N,N,N,N,N,N,0,,0,,,,,FULBRIDGE RD OUTSIDE 355 PETERBOROUGH,2,Car,Ovrtking moving veh on offsde,SE,NW,"Not at,or within 20m of, junction",Did not skid,Pedal cycle,Changing lane to right,SE,NW,"Not at,or within 20m of, junction",Did not skid,,,,,,,517895.3372,302412.3846
2616,20160107,2016,1,7,Thursday,1229,Slight,C,248,Not at junction,Day,Raining & windy,Wet/damp,60,N,N,N,N,N,N,Y,N,N,N,0,,0,,,,,C248 LIME KILN CAMBRIDGE,2,Car,Going ahead,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,GV >3.5 < 7.5t mgw,Parked,Parked,Parked,"Not at,or within 20m of, junction",Did not skid,,,,,,,548165.768,255443.0694
2712,20120103,2012,1,3,Tuesday,1317,Serious,A,1,Not at junction,Day,Fine & windy,Wet/damp,70,N,N,Y,N,N,Y,N,N,N,N,0,,0,,,,,A1 NORTHBOUND SOUTHOE 50M NORTH BELL LANE,1,Car,Going ahead right hand bend,SE,N,"Not at,or within 20m of, junction",Skidded,,,,,,,,,,,,,518665.261,264848.0873
2714,20140110,2014,1,10,Friday,1100,Slight,A,605,Private drive/entry,Day,Fine (no wind),Dry,30,Y,N,N,N,N,N,N,N,N,N,0,,0,,,,,A605 WHITTLESEY RD JUNCTION COMMUNITY CENTRE STANGROUND,2,Car,Moving off,E,W,Entering main road,Did not skid,Pedal cycle,Going ahead,S,N,Mid jnctn - on rbout or main road,Did not skid,,,,,,,520300.3308,296573.1461
